"HolderAddress","Balance","PendingBalanceUpdate"
"0x46b30b40d36d047940dc07e1412194af7f33d070","19000000","No"
"0xebda1169892ebc147ce2d43f12221c6261e98a7e","342500.573802305","No"
"0x407ec69c0cd3d9c9be0bd9b75a47a578c68d29cb","499195.07","No"
"0x96f56b52e093d5df2c9fea637b0dba96569a61cf","0.7","No"
"0xeab79d93972cddc60f9af7f0a384e76057544d3c","1166","No"
"0x336967a8c494714018a5c3dcba64934f4f828d21","2000","No"
"0x338e622ff4a792fc4fb89bf9034a946d84375fef","111.9","No"
"0xc04034ed2e9e98061f942960b35b311d47be9715","1733","No"
"0xca18c1083cc504dbd107ae006faadab78be48c8e","733","No"
"0xc234fcdc2b761712dfdb3988a46aa099601345ce","666.6","No"
"0xdfb038b56ae5884a61dcb50305233adf200898ce","127.4","No"
"0x54dbf421909a0ed0354dde31f53d4c0915874389","329.6","No"
"0x694907d528c41c437473c60bc05bffdbc3219101","78.47","No"
"0x530524a4bc3d04498b4620cb563177f114598bca","1905","No"
"0xa379a03274d262d05a9e95bb2fb00819a96ed4dd","1300","No"
"0xeec925ad22252ca7cf9e60039e3a20073e574bb7","89.63","No"
"0xa999419ac9082a3b6bd4dc5d9cf0ab7525e0bbe0","100","No"
"0xe34c07b4547380af0589adece60b3a6c11fc8d4f","33.6","No"
"0xa15e32a0b99c725f93cd4a5dad8b69b5f63b75d2","5140","No"
"0x295a33379c662a8a794a6ca2324c8f553fcf6ff5","117","No"
"0xcb5583111b0fabe01a8e69765fdf851f074ccd94","300","No"
"0xd24bd3f384c198edcb876923970ed519e199ddf0","33.5","No"
"0x6165eda14378e7f508096490a7e8f6e0c54568ac","33.5","No"
"0x79e81a4c5ea46d387b6511741eca7af5a06747c6","33.5","No"
"0xdc1e146b14852245ebaad0c2bde2bb4729e8c3d9","3906.1111","No"
"0x9d7334e508bc1c85e6fab288ef63d44681de1b42","33.5","No"
"0x2368778fcc0d2f94336ac376f544f4133562ce96","10389.5","No"
"0xb41ed33291ce22884a8ea39dfa870e21d8d5dea1","33.5","No"
"0x798cc15f1314112559231bcd985ddb760422e2eb","3.5","No"
"0x7f67d6c84c9ab7c2dd0bee395e55ea26ba49a07d","0.5","No"
"0xd81da1186b6c8d11581949a2a9c66c4c5d0d37a3","33.5","No"
"0x2d6c8bba71d362c5bb499242375d49dd93898326","121.5","No"
"0x3f820a273090148286c9adb65885d13acb217321","33.5","No"
"0x81123df7bfe4cad63597422e41de8621658a2f96","117.5","No"
"0x66f9d51b90b01064c32761e92200e60ecaf75f61","33.5","No"
"0xb0cfb784dcadef8c51ccf775a47855573b819d9c","8380.6","No"
"0x6826fe195f8a99593368a888151ed8a492b2be09","33.5","No"
"0x8b71637afc8f00590b4bc2beeaccc44f0086b35f","38.5","No"
"0x974cb71681204f488e4fe3a4caf27360b1735a17","44.5","No"
"0x393b427dd9afe5e6fda26b30c35e9d8e4d8ab6e7","135","No"
"0xba245b8a042cfd9375641d54f311815906950782","57.6","No"
"0xc838a7d6e553d2029e8772567862ad17be5186ba","33.5","No"
"0xd5984d1495e951ac8b84064a02ec47542eb3b18c","33.5","No"
"0x81e437ead57ca2bac2d25b2f5e9b9a910bbfcde4","33.5","No"
"0xa5889345cc74245541ad2deb0205085988db9932","4773","No"
"0x4eb4d7cedd1af018f45467bfbb59099d18c5a98e","285.71","No"
"0x50163b566da3c10337f6503a461ca445a2ad00d0","392","No"
"0xbb8b5881d25d3a273f9d7f604c33dfcc53e0a943","33.5","No"
"0xa08ef7cb2703f9edad2ade8701ccb34077ec4f46","33.5","No"
"0x3d2b5ee7657002f08230d501ded8f6378ed0c04a","505","No"
"0x0d0dffc35b3b6978e2ea6986813dae9194e62aa8","33.5","No"
"0x4c9f83ea44e1657309d3555d95f5dd07eb785cda","33.5","No"
"0x6d8f7956462a131b3c4c8f47a60dda03c2c6d97c","33.5","No"
"0xf917383a010a8ff4b79bd7c42916fefc78fa810d","134","No"
"0x46101fee68d21096716f120bc3aa1e3548f4b02d","1050","No"
"0x5311fdacb0e5c52ca12eb78d91698dee0c82bc3c","81","No"
"0x39c8ef0b82ba083a8f4a9118de19df1f986ef126","33.5","No"
"0x5fcad82f218e20e6bbd69c0b42d2e5ec7a7da5d9","200","No"
"0x0fa1a086b46e29994dd15dbff5e533c6127cc114","33.5","No"
"0xbb4237fcb3ae7059c7ceeaa67ec6f9cbee8d484f","33.5","No"
"0xd8586807f7ee69a384d92dd596b2a5cac78677c9","1500.5","No"
"0xb0f7c30dc434efcdd7f2b6b8487ffeee785e0890","33.5","No"
"0xf02ce9a83566bea7d332ad7497388dba5b37298c","36","No"
"0x141daa18d52aca8e194339c89da70ad5ef4a9c50","60","No"
"0xdcb4aa979f76f53c40257bf71d2c644ad8bb3259","29.45","No"
"0x91c52b5ebd48a6abe15814bbf8737d2b6072460c","30","No"
"0xa545aa4183c5dd9fd4803ddf74347972fd8d447e","30","No"
